"","CT2","CT3","CT4","CT5","CT6","CT7","CT8","CT9","CT10","CT11","CT12","CT13","CT14","CT15","RF2","RF3","RF4","RF5","RF6","RF7","RF8","RF9","RF10","RF11","RF12","RF13","RF14","RF15","seed"
"49",0,0,0.00166666666666671,0,0.0266666666666666,NA,NA,0.0166666666666667,0.0116666666666667,0.015,0.025,0.02,0.0216666666666666,NA,0,0,0.00166666666666671,0,0.00666666666666671,NA,NA,0.0133333333333333,0.005,0.015,0.0116666666666667,0.0183333333333333,0.0083333333333333,NA,49
"50",0,0.00166666666666671,0.00166666666666671,0.0033333333333333,0.005,0.01,0.0033333333333333,0.0116666666666667,0.0033333333333333,0.015,0.02,NA,NA,NA,0,0.00166666666666671,0.00166666666666671,0.0033333333333333,0.0033333333333333,0.01,0.005,0.0133333333333333,0.005,0.0116666666666667,0.0116666666666667,NA,NA,NA,50
"51",0,0,0,0.0233333333333333,0.005,NA,0.00666666666666671,0.005,0.0033333333333333,0.0183333333333333,NA,NA,0.0116666666666667,0.0266666666666666,0,0,0,0.0033333333333333,0,NA,0.0083333333333333,0.01,0.005,0.01,NA,NA,0.0083333333333333,0.01,51
"52",0,0,0.0033333333333333,0,0.00666666666666671,0.0133333333333333,0.015,0.0133333333333333,0.0183333333333333,NA,NA,0.035,0.0083333333333333,NA,0,0,0.00166666666666671,0.00166666666666671,0.00666666666666671,0.0133333333333333,0.005,0.01,0.0166666666666667,NA,NA,0.03,0.00666666666666671,NA,52
"53",0.00166666666666671,0.0033333333333333,0.0033333333333333,0,0.005,NA,0.00666666666666671,NA,NA,NA,NA,NA,NA,NA,0.00166666666666671,0.0033333333333333,0.00166666666666671,0,0,NA,0.00666666666666671,NA,NA,NA,NA,NA,NA,NA,53
"54",0,0,0.00166666666666671,0,0.0083333333333333,0.025,0.0083333333333333,0.0133333333333333,0.0133333333333333,0.0166666666666667,0.0283333333333333,NA,NA,NA,0,0,0.00166666666666671,0,0.0083333333333333,0.0133333333333333,0.0033333333333333,0.0133333333333333,0.0116666666666667,0.02,0.03,NA,NA,NA,54
"55",0,0.0033333333333333,0,0,0.005,0.01,0.005,0.0133333333333333,0.0133333333333333,0.03,0.0183333333333333,0.0216666666666666,0.0283333333333333,0.045,0,0.00166666666666671,0,0,0.00666666666666671,0.0133333333333333,0.0033333333333333,0.0116666666666667,0.0133333333333333,0.0233333333333333,0.0166666666666667,0.0216666666666666,0.0283333333333333,0.0233333333333333,55
"56",0,0,0.0033333333333333,0.0033333333333333,0.0116666666666667,0.0133333333333333,0.00166666666666671,0.00666666666666671,NA,0.0133333333333333,NA,NA,0.0266666666666666,NA,0,0,0.0033333333333333,0.00166666666666671,0.00166666666666671,0.0033333333333333,0.00166666666666671,0.00666666666666671,NA,0.01,NA,NA,0.015,NA,56
"57",0.0033333333333333,0.00166666666666671,0.0083333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0033333333333333,0.00166666666666671,0.00666666666666671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57
"58",0.00166666666666671,0.00166666666666671,0.005,0.0033333333333333,0.00666666666666671,0.0033333333333333,0.0116666666666667,0.0133333333333333,0.0166666666666667,NA,NA,NA,NA,NA,0.00166666666666671,0,0.005,0.0033333333333333,0.0033333333333333,0.0033333333333333,0.005,0.0033333333333333,0.0116666666666667,NA,NA,NA,NA,NA,58
"59",0,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00166666666666671,0.005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59
"60",0,0,0.0033333333333333,0.00166666666666671,0.0033333333333333,0.00166666666666671,0.025,0.0183333333333333,0.015,0.015,0.0216666666666666,0.0166666666666667,0.02,NA,0,0,0.0033333333333333,0.00166666666666671,0.0033333333333333,0,0.0083333333333333,0.0083333333333333,0.0083333333333333,0.015,0.0166666666666667,0.00666666666666671,0.0166666666666667,NA,60
"61",0,0.00166666666666671,0.00666666666666671,0.00666666666666671,0.00666666666666671,0.0116666666666667,0.005,0.0133333333333333,0.0133333333333333,0.03,NA,NA,NA,NA,0,0.00166666666666671,0.00666666666666671,0.005,0.00666666666666671,0.0083333333333333,0.005,0.0133333333333333,0.0116666666666667,0.0133333333333333,NA,NA,NA,NA,61
"62",0,0,0.005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.00166666666666671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62
"63",0,0,0.0033333333333333,0.00666666666666671,0.0033333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.00666666666666671,0.00666666666666671,0.0033333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,63
"64",0,0.00166666666666671,0,0.00166666666666671,0.0033333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.0033333333333333,0,0.00166666666666671,0.0033333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,64
"65",0,0,0.0033333333333333,0.0033333333333333,0.00666666666666671,0.0266666666666666,0.0233333333333333,0.0216666666666666,0.0433333333333333,0.015,0.0166666666666667,0.0216666666666666,0.035,0.02,0,0,0.0033333333333333,0.005,0.00666666666666671,0.00166666666666671,0.00666666666666671,0.0133333333333333,0.0233333333333333,0.01,0.0133333333333333,0.0183333333333333,0.0133333333333333,0.0216666666666666,65
"66",0,0.00166666666666671,0,0.01,0.005,0.02,0.005,NA,0.015,NA,NA,NA,NA,NA,0,0.00166666666666671,0,0.0033333333333333,0.0033333333333333,0.02,0.005,NA,0.005,NA,NA,NA,NA,NA,66
"67",0,0.0033333333333333,0,0.0116666666666667,0.0083333333333333,0.0083333333333333,NA,0.005,0.0133333333333333,0.0216666666666666,0.0166666666666667,0.015,NA,0.025,0,0.0033333333333333,0,0,0.0033333333333333,0.00666666666666671,NA,0.005,0.0116666666666667,0.0166666666666667,0.0133333333333333,0.0166666666666667,NA,0.0233333333333333,67
"68",0,0,0.0033333333333333,0,0.00166666666666671,0.015,0.0216666666666666,0.0133333333333333,NA,0.0116666666666667,NA,0.0216666666666666,0.015,NA,0,0,0.0033333333333333,0,0.005,0.00166666666666671,0.01,0.00666666666666671,NA,0.0133333333333333,NA,0.0216666666666666,0.0166666666666667,NA,68
"69",0,0.0033333333333333,0.00166666666666671,0.00166666666666671,0.0116666666666667,0.0133333333333333,0.015,NA,NA,0.0116666666666667,0.03,NA,0.0166666666666667,NA,0,0.0033333333333333,0,0.00166666666666671,0,0.0083333333333333,0.0133333333333333,NA,NA,0.01,0.025,NA,0.0166666666666667,NA,69
"70",0,0.0033333333333333,0.00166666666666671,0.00166666666666671,0.0133333333333333,0.01,0.0033333333333333,0.005,NA,NA,0.045,NA,NA,NA,0,0.0033333333333333,0,0.00166666666666671,0.00166666666666671,0.005,0.00666666666666671,0.005,NA,NA,0.0166666666666667,NA,NA,NA,70
"71",0.0033333333333333,0,0,0.005,0.0083333333333333,0.0133333333333333,0.0216666666666666,0.01,0.0416666666666666,NA,NA,NA,NA,NA,0.0033333333333333,0,0.00166666666666671,0.005,0.0133333333333333,0.0116666666666667,0.0133333333333333,0.0083333333333333,0.0166666666666667,NA,NA,NA,NA,NA,71
"72",0.00166666666666671,0.00166666666666671,0.0033333333333333,0,0.01,0.0033333333333333,0.005,0.015,NA,NA,NA,NA,NA,NA,0.00166666666666671,0.00166666666666671,0.0033333333333333,0,0.00666666666666671,0.0033333333333333,0.00666666666666671,0.0133333333333333,NA,NA,NA,NA,NA,NA,72
"73",0,0.0033333333333333,0.0083333333333333,0.0083333333333333,0.0166666666666667,0.00166666666666671,0.0216666666666666,0.0233333333333333,0.0216666666666666,0.015,NA,NA,0.015,NA,0,0.005,0.0083333333333333,0.0083333333333333,0.01,0.00166666666666671,0.00666666666666671,0.0216666666666666,0.0216666666666666,0.02,NA,NA,0.015,NA,73
"74",0,0.00166666666666671,0.0033333333333333,0,0.0033333333333333,0.005,0.00666666666666671,0.035,NA,0.0283333333333333,NA,0.0216666666666666,0.03,0.0233333333333333,0,0.00166666666666671,0.0033333333333333,0,0.0033333333333333,0.0033333333333333,0.005,0.02,NA,0.0166666666666667,NA,0.0133333333333333,0.0283333333333333,0.0316666666666666,74
"75",0.0033333333333333,0.00166666666666671,0.0033333333333333,0.0083333333333333,0.0083333333333333,0.00166666666666671,NA,NA,NA,NA,NA,NA,NA,NA,0.0033333333333333,0.00166666666666671,0.0033333333333333,0.0033333333333333,0.00666666666666671,0.0033333333333333,NA,NA,NA,NA,NA,NA,NA,NA,75
"76",0,0.0033333333333333,0,0.0033333333333333,0.0083333333333333,0.0133333333333333,0.015,0.0183333333333333,0.0133333333333333,NA,NA,NA,0.0266666666666666,NA,0,0.0033333333333333,0,0.0033333333333333,0.00166666666666671,0.0133333333333333,0.01,0.0116666666666667,0.00666666666666671,NA,NA,NA,0.0216666666666666,NA,76
"77",0,0.0116666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77
"78",0.00166666666666671,0.0033333333333333,0.00166666666666671,0,0.005,0.0116666666666667,0.00666666666666671,0.0083333333333333,0.0283333333333333,0.0166666666666667,0.015,NA,0.0216666666666666,0.0266666666666666,0.00166666666666671,0.005,0.0033333333333333,0.00166666666666671,0.005,0.005,0.0116666666666667,0.01,0.0116666666666667,0.0116666666666667,0.0083333333333333,NA,0.02,0.0133333333333333,78
"79",0,0,0.0033333333333333,0.00166666666666671,0,0.0283333333333333,NA,NA,0.0366666666666666,0.0166666666666667,0.0083333333333333,0.035,0.0166666666666667,0.02,0,0,0.0033333333333333,0.00166666666666671,0,0.0116666666666667,NA,NA,0.0266666666666666,0.015,0.0033333333333333,0.0183333333333333,0.0183333333333333,0.0116666666666667,79
"80",0.00166666666666671,0,0.00166666666666671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00166666666666671,0,0.00166666666666671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80
"81",0,0,0.005,0,0.005,0.01,0.00666666666666671,0.015,0.0166666666666667,0.02,0.025,0.0266666666666666,NA,0.0266666666666666,0.00166666666666671,0,0.005,0,0.00666666666666671,0,0.0033333333333333,0.01,0.0166666666666667,0.0116666666666667,0.02,0.0283333333333333,NA,0.02,81
"82",0,0,0.00166666666666671,0.005,0.005,0.0033333333333333,0.00666666666666671,NA,0.01,0.0116666666666667,NA,0.0283333333333333,0.045,0.0166666666666667,0,0,0.0033333333333333,0.0083333333333333,0.0033333333333333,0.0033333333333333,0.005,NA,0.0116666666666667,0.0133333333333333,NA,0.0133333333333333,0.0083333333333333,0.0083333333333333,82
"83",0.00166666666666671,0,0.00166666666666671,0.00666666666666671,0.00166666666666671,0.0283333333333333,0.01,0.0216666666666666,0.01,0.0133333333333333,NA,NA,NA,NA,0.00166666666666671,0,0.00166666666666671,0.00666666666666671,0.00166666666666671,0.0166666666666667,0.00666666666666671,0.0116666666666667,0.0083333333333333,0.01,NA,NA,NA,NA,83
"84",0,0.00166666666666671,0.005,0,0.0033333333333333,0.005,0.0266666666666666,0.0216666666666666,0.0183333333333333,0.045,0.0166666666666667,0.0333333333333333,0.0216666666666666,0.0383333333333333,0,0.00166666666666671,0.005,0,0.0033333333333333,0.00666666666666671,0.0083333333333333,0.0133333333333333,0.00166666666666671,0.0266666666666666,0.01,0.025,0.0183333333333333,0.015,84
"85",0,0,0,0.0166666666666667,0.0133333333333333,NA,0.00666666666666671,NA,0.0133333333333333,NA,NA,NA,NA,0.0333333333333333,0,0,0,0.00166666666666671,0.0083333333333333,NA,0.0033333333333333,NA,0.00666666666666671,NA,NA,NA,NA,0.0133333333333333,85
