"","CTnoX_4","CTwX_4","RFnoX_4","RFwX_4","seed"
"1",0.231666666666667,0.151666666666667,0.223333333333333,0.138333333333333,1
"2",0.19,0.135,0.181666666666667,0.11,2
"3",0.19,0.125,0.181666666666667,0.108333333333333,3
"4",0.168333333333333,0.116666666666667,0.176666666666667,0.0866666666666667,4
"5",0.183333333333333,0.105,0.183333333333333,0.0916666666666667,5
"6",0.183333333333333,0.115,0.18,0.101666666666667,6
"7",0.181666666666667,0.115,0.195,0.126666666666667,7
"8",0.166666666666667,0.106666666666667,0.17,0.101666666666667,8
"9",0.188333333333333,0.111666666666667,0.193333333333333,0.1,9
"10",0.19,0.158333333333333,0.203333333333333,0.105,10
"11",0.198333333333333,0.111666666666667,0.191666666666667,0.0883333333333334,11
"12",0.193333333333333,0.131666666666667,0.198333333333333,0.1,12
"13",0.185,0.138333333333333,0.19,0.106666666666667,13
"14",0.203333333333333,0.133333333333333,0.228333333333333,0.12,14
"15",0.176666666666667,0.095,0.188333333333333,0.103333333333333,15
"16",0.231666666666667,0.136666666666667,0.22,0.111666666666667,16
"17",0.193333333333333,0.145,0.188333333333333,0.116666666666667,17
"18",0.183333333333333,0.135,0.185,0.108333333333333,18
"19",0.183333333333333,0.115,0.188333333333333,0.105,19
"20",0.173333333333333,0.13,0.176666666666667,0.108333333333333,20
"21",0.226666666666667,0.126666666666667,0.218333333333333,0.105,21
"22",0.186666666666667,0.115,0.193333333333333,0.106666666666667,22
"23",0.165,0.106666666666667,0.173333333333333,0.116666666666667,23
"24",0.166666666666667,0.121666666666667,0.18,0.121666666666667,24
"25",0.191666666666667,0.13,0.216666666666667,0.12,25
"26",0.208333333333333,0.135,0.215,0.116666666666667,26
"27",0.211666666666667,0.101666666666667,0.188333333333333,0.095,27
"28",0.196666666666667,0.125,0.2,0.118333333333333,28
"29",0.195,0.115,0.191666666666667,0.12,29
"30",0.173333333333333,0.118333333333333,0.178333333333333,0.0966666666666667,30
"31",0.166666666666667,0.0966666666666667,0.165,0.0866666666666667,31
"32",0.195,0.153333333333333,0.195,0.121666666666667,32
"33",0.186666666666667,0.128333333333333,0.201666666666667,0.108333333333333,33
"34",0.171666666666667,0.0983333333333334,0.171666666666667,0.0916666666666667,34
"35",0.176666666666667,0.108333333333333,0.163333333333333,0.0933333333333334,35
"36",0.16,0.12,0.16,0.09,36
"37",0.166666666666667,0.0966666666666667,0.165,0.0883333333333334,37
"38",0.22,0.126666666666667,0.21,0.135,38
"39",0.2,0.141666666666667,0.186666666666667,0.118333333333333,39
"40",0.22,0.12,0.21,0.113333333333333,40
"41",0.176666666666667,0.116666666666667,0.181666666666667,0.13,41
"42",0.175,0.131666666666667,0.171666666666667,0.12,42
"43",0.178333333333333,0.153333333333333,0.183333333333333,0.103333333333333,43
"44",0.243333333333333,0.131666666666667,0.213333333333333,0.118333333333333,44
"45",0.215,0.131666666666667,0.213333333333333,0.121666666666667,45
"46",0.211666666666667,0.126666666666667,0.2,0.128333333333333,46
"47",0.196666666666667,0.151666666666667,0.216666666666667,0.143333333333333,47
"48",0.195,0.121666666666667,0.193333333333333,0.115,48
"49",0.168333333333333,0.0933333333333334,0.163333333333333,0.0983333333333334,49
"50",0.186666666666667,0.116666666666667,0.193333333333333,0.101666666666667,50
"51",0.183333333333333,0.101666666666667,0.188333333333333,0.0866666666666667,51
"52",0.181666666666667,0.131666666666667,0.198333333333333,0.121666666666667,52
"53",0.205,0.143333333333333,0.203333333333333,0.13,53
"54",0.181666666666667,0.111666666666667,0.173333333333333,0.085,54
"55",0.215,0.123333333333333,0.216666666666667,0.106666666666667,55
"56",0.153333333333333,0.113333333333333,0.155,0.08,56
"57",0.211666666666667,0.121666666666667,0.211666666666667,0.106666666666667,57
"58",0.186666666666667,0.125,0.178333333333333,0.116666666666667,58
"59",0.171666666666667,0.106666666666667,0.181666666666667,0.1,59
"60",0.173333333333333,0.126666666666667,0.176666666666667,0.11,60
"61",0.181666666666667,0.111666666666667,0.191666666666667,0.09,61
"62",0.163333333333333,0.116666666666667,0.17,0.103333333333333,62
"63",0.186666666666667,0.14,0.186666666666667,0.116666666666667,63
"64",0.185,0.123333333333333,0.176666666666667,0.116666666666667,64
"65",0.198333333333333,0.121666666666667,0.198333333333333,0.11,65
"66",0.173333333333333,0.156666666666667,0.175,0.113333333333333,66
"67",0.226666666666667,0.156666666666667,0.221666666666667,0.123333333333333,67
"68",0.195,0.11,0.19,0.0966666666666667,68
"69",0.21,0.128333333333333,0.213333333333333,0.113333333333333,69
"70",0.165,0.116666666666667,0.171666666666667,0.095,70
"71",0.191666666666667,0.136666666666667,0.183333333333333,0.131666666666667,71
"72",0.211666666666667,0.128333333333333,0.216666666666667,0.108333333333333,72
"73",0.191666666666667,0.138333333333333,0.18,0.113333333333333,73
"74",0.191666666666667,0.128333333333333,0.196666666666667,0.103333333333333,74
"75",0.178333333333333,0.0983333333333334,0.161666666666667,0.0983333333333334,75
"76",0.191666666666667,0.12,0.195,0.111666666666667,76
"77",0.178333333333333,0.143333333333333,0.175,0.135,77
"78",0.171666666666667,0.108333333333333,0.163333333333333,0.103333333333333,78
"79",0.21,0.123333333333333,0.206666666666667,0.0933333333333334,79
"80",0.15,0.0983333333333334,0.158333333333333,0.095,80
"81",0.196666666666667,0.131666666666667,0.198333333333333,0.116666666666667,81
"82",0.168333333333333,0.108333333333333,0.165,0.0916666666666667,82
"83",0.166666666666667,0.101666666666667,0.165,0.101666666666667,83
"84",0.18,0.14,0.16,0.11,84
